номер_позиції,аксіальна_x,аксіальна_альфа,x_см,y_см,тип,fuel_cell_id,енергія_поділів_еВ_на_джерельну_частинку,похибка_енергії_поділів_еВ,поділи_на_джерельну_частинку,похибка_поділів,потік_на_джерельну_частинку,похибка_потоку,поглинання_на_джерельну_частинку,похибка_поглинання,нейтрони_поділу_на_джерельну_частинку,похибка_нейтронів_поділу,частка_потужності,відносна_потужність,похибка_відносної_потужності_наближено
1,0,10,0.0,12.75,звичайний твел UO₂,1,347139.6487585324,5502.671210342389,0.0017928622893925634,2.8448323945204296e-05,0.041554150192850595,0.0003013564256754786,0.003021200303283961,4.691304236355519e-05,0.0043884283206920005,6.914829704494984e-05,0.003526003300899755,1.1001130298807236,0.017460652344954714
2,-1,10,-1.104182389825159,12.112499999999999,звичайний твел UO₂,6,340897.8869851066,4828.987262213231,0.001760600451259863,2.496344181486245e-05,0.04147029359541753,0.0002749055119649178,0.0030013661671471847,4.310298017439955e-05,0.004309632748012129,6.083452022568553e-05,0.0034626038226343433,1.080332392661915,0.015327891308676128
3,1,9,1.104182389825159,12.112499999999999,звичайний твел UO₂,11,340903.4309554036,5340.248075289213,0.0017606308200959933,2.760711640533557e-05,0.04164052008232704,0.00024464454788922414,0.0029868750720393428,4.3043682132438047e-05,0.004310294847960757,6.709787429982149e-05,0.003462660134431734,1.080349961942701,0.016945780615780885
4,-2,10,-2.208364779650318,11.475,звичайний твел UO₂,16,341387.2284634341,4591.167112212772,0.0017631142191903008,2.3737299258089737e-05,0.04160566418196679,0.0002495693381990701,0.003004486332830571,3.940620636465072e-05,0.004316496582876482,5.770284553278855e-05,0.003467574213294184,1.0818831545477854,0.014575558464806737
5,0,9,0.0,11.475,звичайний твел UO₂,21,307987.07865921373,4256.441987637127,0.0015904514074960034,2.2006850416502174e-05,0.04052896846204006,0.00025163290005236934,0.0027201934402698237,3.615326720886718e-05,0.0038961974922654364,5.347887926136947e-05,0.0031283187036415068,0.9760354355361501,0.013511640680625995
6,2,8,2.208364779650318,11.475,звичайний твел UO₂,26,344405.54443767556,4639.4720550930215,0.0017787757655074031,2.3986603962268022e-05,0.04138531777571604,0.000261863250165657,0.0030184974953216905,3.791294522577002e-05,0.004353930133331063,5.831414497670337e-05,0.0034982321693254087,1.0914484368295276,0.014728825467556434
7,-3,10,-3.312547169475477,10.837499999999999,звичайний твел UO₂,31,342374.15330212197,4688.543219971272,0.001768169579755661,2.4243752241667053e-05,0.0419079435751993,0.0002691716650439053,0.002971389735801593,3.979336442960219e-05,0.004330038115572701,5.891249774050765e-05,0.0034775987099237063,1.0850107974961964,0.014883762509500926
8,-1,9,-1.104182389825159,10.837499999999999,звичайний твел UO₂,36,307957.8212311925,5238.346573117892,0.0015902812528661456,2.708456867430815e-05,0.04102731755187035,0.0002190812240226345,0.0026972258899234736,4.1941542536091956e-05,0.003896693645151656,6.577522736692052e-05,0.003128021527020664,0.975942716430447,0.016619132207618348
9,1,8,1.104182389825159,10.837499999999999,звичайний твел UO₂,41,298439.22418653115,4169.765380762425,0.0015410873549674248,2.155691112722146e-05,0.04067059269857629,0.0002363853228538364,0.0026629429139299887,3.313761223418461e-05,0.0037770518626898636,5.23921376917363e-05,0.0030313382333679805,0.9457775288108099,0.013236016013810447
10,3,7,3.312547169475477,10.837499999999999,звичайний твел UO₂,46,337050.9177548591,5089.403964196688,0.0017407111403337505,2.6311660175104917e-05,0.041546438612159495,0.00028571569355361067,0.00296951523153346,4.0761032463449726e-05,0.004261798975787621,6.398525183108019e-05,0.0034235289827166827,1.068141042607605,0.01615140303754622
11,-4,10,-4.416729559300636,10.2,звичайний твел UO₂,51,347915.51631953823,5345.566219756183,0.0017968300182800608,2.7635169230393275e-05,0.041886094223106754,0.00025656385127837875,0.0030174086707406922,4.429895506785298e-05,0.004399413993950299,6.716490019359886e-05,0.003533884024380784,1.1025718156068047,0.01696352972235528
12,-2,9,-2.208364779650318,10.2,звичайний твел UO₂,56,323129.65410584334,4603.089763252144,0.0016687016013929971,2.379513350037631e-05,0.04126172235186739,0.0002328584476441817,0.0028638542085941323,3.990144733545183e-05,0.004087171214001475,5.790624582122598e-05,0.003282126461412441,1.0240234559606816,0.014610600280754959
13,0,8,0.0,10.2,твег UO₂-Gd₂O₃,61,104692.59140857408,1079.47942077601,0.0005395183144680944,5.575351316629819e-06,0.0363754178540412,0.00022339666298609167,0.007766771395327996,0.00011682574455708627,0.0013393432184401837,1.3694981141902645e-05,0.001063394585454446,0.3317791106617871,0.00343126358871188
14,2,7,2.208364779650318,10.2,звичайний твел UO₂,66,314057.5205952162,4536.905439203413,0.0016218176321961535,2.345451746380479e-05,0.04107890864232371,0.00027362064069001284,0.0027854103532363884,3.8795002840712004e-05,0.003973367960807319,5.703604062403779e-05,0.0031899780340602967,0.9952731466268125,0.014399899142301668
15,4,6,4.416729559300636,10.2,звичайний твел UO₂,71,344956.39154921466,5303.9725878530635,0.0017815884479653805,2.742564926309521e-05,0.041398580717908785,0.0002191004592020961,0.0029814356773060725,4.154057476707708e-05,0.00436175913039219,6.667699043948476e-05,0.003503827291462924,1.0931941149364321,0.01683150389689511
16,-5,10,-5.520911949125795,9.5625,звичайний твел UO₂,76,345543.4541690099,4590.368445106097,0.0017846213761928554,2.373419395345336e-05,0.04163630905164951,0.0002318702420557576,0.003029643712015672,3.783522784154954e-05,0.004368504905375907,5.769958631879309e-05,0.0035097902655646597,1.0950545628561739,0.014573663137296964
17,-3,9,-3.312547169475477,9.5625,звичайний твел UO₂,81,329287.1489467206,4277.423640311434,0.0017005567919103376,2.211524283957355e-05,0.041385369440237116,0.00023466102411198253,0.0029036505808735353,3.8086271141075935e-05,0.004164421717118093,5.380570640285748e-05,0.003344670014739905,1.0435370445988503,0.013581243080649856
18,-1,8,-1.104182389825159,9.5625,звичайний твел UO₂,86,303105.56207824376,3772.018312702076,0.001565194021383103,1.9502009531600983e-05,0.04070667029356226,0.00022221627927946624,0.002724691694074292,3.8438340346811674e-05,0.0038358442077472614,4.740710667139269e-05,0.003078735650713232,0.9605655230225284,0.011978562908517003
19,1,7,1.104182389825159,9.5625,звичайний твел UO₂,91,297321.66778229957,3976.1697487745996,0.0015353408870184546,2.0557839018014936e-05,0.040100129164102154,0.0002331551988335377,0.0026478624741278676,3.2793219734126615e-05,0.0037616810166090134,4.992350479786941e-05,0.0030199868720805143,0.9422359040891204,0.012623380848784076
20,3,6,3.312547169475477,9.5625,звичайний твел UO₂,96,322505.5009215764,4929.038871912542,0.0016655033481038476,2.5478786506522622e-05,0.041034365713572316,0.00022363347711163136,0.002904972206969496,4.588741608359692e-05,0.004078980684575258,6.201106385427353e-05,0.003275786747133583,1.0220454651056778,0.015641954086198076
21,5,5,5.520911949125795,9.5625,звичайний твел UO₂,101,342378.999547946,4658.661882025412,0.0017682307964992643,2.4090729752351105e-05,0.04142706410751732,0.0002631064305528279,0.0029884126985725724,3.9730309496369695e-05,0.004329467554352786,5.8464486977423015e-05,0.0034776479347207972,1.0850261556328888,0.014789229531731219
22,-6,10,-6.625094338950954,8.924999999999999,звичайний твел UO₂,106,349789.24229693983,5219.225151138299,0.0018065280941606,2.698669472680275e-05,0.04185819499498634,0.0002414191480908949,0.003032282284381644,4.3757416512666996e-05,0.004422905144307507,6.558349431411853e-05,0.0035529160306783285,1.1085098015716384,0.01656395532642238
23,-4,9,-4.416729559300636,8.924999999999999,звичайний твел UO₂,111,337125.7691089085,4078.9087862388856,0.0017410723864456417,2.1088034088428988e-05,0.04132775457646411,0.0002463257379631693,0.002896198149796313,3.125101221512161e-05,0.004263357035968201,5.1294937375074257e-05,0.0034242892707517683,1.0683782524745518,0.012954683721463254
24,-2,8,-2.208364779650318,8.924999999999999,звичайний твел UO₂,116,316112.33032256615,4266.313845432168,0.0016324315238602045,2.2050816217640372e-05,0.041220746696872736,0.00023023239658385045,0.002769695079794954,3.135459580867666e-05,0.0039993960173959125,5.3694285296412496e-05,0.0032108493632422783,1.0017850013315908,0.013544079499653278
