матеріал,нуклід,показник,середнє,стандартне_відхилення
UO2 fuel,U235,поглинання,0.583690615311176,0.0007598580378150126
UO2 fuel,U235,поділ,0.4752427769241769,0.0006414554953902697
UO2 fuel,U235,радіаційне захоплення,0.10844759639484738,0.00012714370254843102
UO2 fuel,U238,поглинання,0.2685496506440609,0.00035528523194154344
UO2 fuel,U238,поділ,0.026631299119314347,5.11731700621087e-05
UO2 fuel,U238,радіаційне захоплення,0.24191833696922585,0.00034605843741115124
UO2 fuel,Gd155,поглинання,0.0,0.0
UO2 fuel,Gd155,поділ,0.0,0.0
UO2 fuel,Gd155,радіаційне захоплення,0.0,0.0
UO2 fuel,Gd157,поглинання,0.0,0.0
UO2 fuel,Gd157,поділ,0.0,0.0
UO2 fuel,Gd157,радіаційне захоплення,0.0,0.0
UO2-Gd2O3 fuel,U235,поглинання,0.007420349739471194,2.7185950640180183e-05
UO2-Gd2O3 fuel,U235,поділ,0.005547086424583079,1.995809263011101e-05
UO2-Gd2O3 fuel,U235,радіаційне захоплення,0.0018732606107772143,8.746771453957796e-06
UO2-Gd2O3 fuel,U238,поглинання,0.0084366904549753,7.941895937264216e-05
UO2-Gd2O3 fuel,U238,поділ,0.0009339634973777651,3.3410930364782448e-06
UO2-Gd2O3 fuel,U238,радіаційне захоплення,0.007502726462355278,7.897742017833123e-05
UO2-Gd2O3 fuel,Gd155,поглинання,0.015549520882843419,7.826047900390228e-05
UO2-Gd2O3 fuel,Gd155,поділ,0.0,0.0
UO2-Gd2O3 fuel,Gd155,радіаційне захоплення,0.015549520699868749,7.826048052774231e-05
UO2-Gd2O3 fuel,Gd157,поглинання,0.058950080977810584,0.00031412816919989574
UO2-Gd2O3 fuel,Gd157,поділ,0.0,0.0
UO2-Gd2O3 fuel,Gd157,радіаційне захоплення,0.058950080801638244,0.0003141281700936389
